norte de santannder,2020-09-27,15322
putumayo,2020-09-27,3729
quindío,2020-09-27,3308
risaralda,2020-09-27,10809
san andrés y providencia,2020-09-27,1127
santander,2020-09-27,29952
sucre,2020-09-27,13972
tolima,2020-09-27,11968
valle del cauca,2020-09-27,57809
vaupés,2020-09-27,750
vichada,2020-09-27,473


total,2020-09-28,813056
amazonas,2020-09-28,2742
antioquia,2020-09-28,112470
arauca,2020-09-28,1689
atlantico,2020-09-28,29308
barranquilla,2020-09-28,38009
bolivar,2020-09-28,5774
boyaca,2020-09-28,7015
caldas,2020-09-28,5663
caqueta,2020-09-28,8429
casanare,2020-09-28,2211
cauca,2020-09-28,9223
cesar,2020-09-28,19460
choco,2020-09-28,3990
cordoba,2020-09-28,23691
cundinamarca,2020-09-28,32981
guainía,2020-09-28,767
guaviare,2020-09-28,772
huila,2020-09-28,11281
la guajira,2020-09-28,7987
magdalena,2020-09-28,5139
meta,2020-09-28,15733
nariño,2020-09-28,18177
norte de santannder,2020-09-28,15506
putumayo,2020-09-28,3733
quindío,2020-09-28,3369
risaralda,2020-09-28,10953
san andrés y providencia,2020-09-28,1138
santander,2020-09-28,30413
sucre,2020-09-28,13999
tolima,2020-09-28,12064
valle del cauca,2020-09-28,58516
vaupés,2020-09-28,754
vichada,2020-09-28,479


total,2020-10-27,900000
amazonas,2020-10-27,2750
antioquia,2020-10-27,128299
arauca,2020-10-27,2176
atlantico,2020-10-27,29844
barranquilla,2020-10-27,38922
bolivar,2020-10-27,6138
boyaca,2020-10-27,9032
caldas,2020-10-27,7554
caqueta,2020-10-27,9518
casanare,2020-10-27,3008
cauca,2020-10-27,10750
cesar,2020-10-27,22131
choco,2020-10-27,4057
cordoba,2020-10-27,25008
cundinamarca,2020-10-27,36320
guainía,2020-10-27,1020
guaviare,2020-10-27,1071
huila,2020-10-27,14498
la guajira,2020-10-27,8750
magdalena,2020-10-27,5455
meta,2020-10-27,18283
nariño,2020-10-27,19365
norte de santannder,2020-10-27,17528
putumayo,2020-10-27,3990
quindío,2020-10-27,5154
risaralda,2020-10-27,13008
san andrés y providencia,2020-10-27,1608
santander,2020-10-27,34777
sucre,2020-10-27,14406
tolima,2020-10-27,14124
valle del cauca,2020-10-27,66159
vaupés,2020-10-27,920
vichada,2020-10-27,668


total,2020-10-27,1025052
amazonas,2020-10-27,2882
antioquia,2020-10-27,157970
arauca,2020-10-27,3020
atlantico,2020-10-27,30570
barranquilla,2020-10-27,40278
bolivar,2020-10-27,6599
boyaca,2020-10-27,12726
caldas,2020-10-27,11763
caqueta,2020-10-27,10963
casanare,2020-10-27,4606
cauca,2020-10-27,12566
cesar,2020-10-27,25072
choco,2020-10-27,4152
cordoba,2020-10-27,26008
cundinamarca,2020-10-27,40881
guainía,2020-10-27,1116
guaviare,2020-10-27,1368
huila,2020-10-27,20547
la guajira,2020-10-27,9590
magdalena,2020-10-27,5779
meta,2020-10-27,21700
nariño,2020-10-27,21245
norte de santannder,2020-10-27,20285
putumayo,2020-10-27,4283
quindío,2020-10-27,8444
risaralda,2020-10-27,16396
san andrés y providencia,2020-10-27,1857
santander,2020-10-27,40238
sucre,2020-10-27,15295
tolima,2020-10-27,17927
valle del cauca,2020-10-27,76536
vaupés,2020-10-27,1042
vichada,2020-10-27,775


total,2021-03-05,1900000
amazonas,2021-03-05,3443
antioquia,2021-03-05,301682
arauca,2021-03-05,4987
atlantico,2021-03-05,41993
barranquilla,2021-03-05,62872
bolivar,2021-03-05,9056
boyaca,2021-03-05,35631
caldas,2021-03-05,39252
caqueta,2021-03-05,15919
casanare,2021-03-05,10326
cauca,2021-03-05,22116
cesar,2021-03-05,36377
choco,2021-03-05,5441
cordoba,2021-03-05,31043
cundinamarca,2021-03-05,82345
guainía,2021-03-05,1245
guaviare,2021-03-05,2089
huila,2021-03-05,40833
la guajira,2021-03-05,15018
magdalena,2021-03-05,8245
meta,2021-03-05,37823
nariño,2021-03-05,39867
norte de santannder,2021-03-05,45726
putumayo,2021-03-05,6724
quindío,2021-03-05,27640
risaralda,2021-03-05,41009
san andrés y providencia,2021-03-05,2548
santander,2021-03-05,77024
sucre,2021-03-05,18296
tolima,2021-03-05,55589
valle del cauca,2021-03-05,154201
vaupés,2021-03-05,1143
vichada,2021-03-05,1182


total,2021-03-06,2269582
amazonas,2021-03-06,5356
antioquia,2021-03-06,347316
arauca,2021-03-06,5609
atlantico,2021-03-06,48639
barranquilla,2021-03-06,76228
bolivar,2021-03-06,10152
boyaca,2021-03-06,46586
caldas,2021-03-06,46732
caqueta,2021-03-06,17060
casanare,2021-03-06,12471
cauca,2021-03-06,27490
cesar,2021-03-06,40705
choco,2021-03-06,6564
cordoba,2021-03-06,38266
cundinamarca,2021-03-06,106618
guainía,2021-03-06,1305
guaviare,2021-03-06,2256
huila,2021-03-06,49931
la guajira,2021-03-06,16305
magdalena,2021-03-06,10869
meta,2021-03-06,42581
nariño,2021-03-06,49185
norte de santannder,2021-03-06,51007
putumayo,2021-03-06,7929
quindío,2021-03-06,32419
risaralda,2021-03-06,46341
san andrés y providencia,2021-03-06,2709
santander,2021-03-06,91733
sucre,2021-03-06,20789
tolima,2021-03-06,65528
valle del cauca,2021-03-06,197188
vaupés,2021-03-06,1153
vichada,2021-03-06,1377


total,2021-03-08,2276656
amazonas,2021-03-08,5399
antioquia,2021-03-08,348308
arauca,2021-03-08,5619
atlantico,2021-03-08,48921
barranquilla,2021-03-08,76661
bolivar,2021-03-08,10172
boyaca,2021-03-08,46699
caldas,2021-03-08,46834
caqueta,2021-03-08,17071
casanare,2021-03-08,12493
cauca,2021-03-08,27538
cesar,2021-03-08,40820
choco,2021-03-08,6568
cordoba,2021-03-08,38486
cundinamarca,2021-03-08,106929
guainía,2021-03-08,1310
guaviare,2021-03-08,2256
huila,2021-03-08,50020
la guajira,2021-03-08,16340
magdalena,2021-03-08,11046
meta,2021-03-08,42660
nariño,2021-03-08,49284
norte de santannder,2021-03-08,51107
putumayo,2021-03-08,7952
quindío,2021-03-08,32560
risaralda,2021-03-08,46473
san andrés y providencia,2021-03-08,2709
santander,2021-03-08,91946
sucre,2021-03-08,20898
tolima,2021-03-08,65609
valle del cauca,2021-03-08,197886
vaupés,2021-03-08,1153
vichada,2021-03-08,1379


total,2021-03-11,2285960
amazonas,2021-03-11,5460
antioquia,2021-03-11,349831
arauca,2021-03-11,5627
atlantico,2021-03-11,49367
barranquilla,2021-03-11,77198
bolivar,2021-03-11,10227
boyaca,2021-03-11,46883
caldas,2021-03-11,47011
caqueta,2021-03-11,17087
casanare,2021-03-11,12548
cauca,2021-03-11,27581
cesar,2021-03-11,40978
choco,2021-03-11,6599
cordoba,2021-03-11,39068
cundinamarca,2021-03-11,107464
guainía,2021-03-11,1324
guaviare,2021-03-11,2256
huila,2021-03-11,50110
la guajira,2021-03-11,16437
magdalena,2021-03-11,11241
meta,2021-03-11,42765
nariño,2021-03-11,49367
norte de santannder,2021-03-11,51190
putumayo,2021-03-11,7969
quindío,2021-03-11,32718
risaralda,2021-03-11,46624
san andrés y providencia,2021-03-11,2715
santander,2021-03-11,92314
sucre,2021-03-11,21092
tolima,2021-03-11,65715
valle del cauca,2021-03-11,198665
vaupés,2021-03-11,1153
vichada,2021-03-11,1384


total,2021-03-11,2290539
amazonas,2021-03-11,5523
antioquia,2021-03-11,350402
arauca,2021-03-11,5631
atlantico,2021-03-11,49611
barranquilla,2021-03-11,77442
bolivar,2021-03-11,10235
boyaca,2021-03-11,46942
caldas,2021-03-11,47066
caqueta,2021-03-11,17096
casanare,2021-03-11,12574
cauca,2021-03-11,27601
cesar,2021-03-11,41057
choco,2021-03-11,6602
cordoba,2021-03-11,39271
cundinamarca,2021-03-11,107667
guainía,2021-03-11,1327
guaviare,2021-03-11,2257
huila,2021-03-11,50147
la guajira,2021-03-11,16456
magdalena,2021-03-11,11400
meta,2021-03-11,42855
nariño,2021-03-11,49397
norte de santannder,2021-03-11,51206
putumayo,2021-03-11,7976
quindío,2021-03-11,32860
risaralda,2021-03-11,46714
